t,p1,p2,p3,p4,p5
0,75,75,75,75,75
1,83.74097938,83.71243523,86.16112717,86.08801775,85.99161585
2,94.69866208,95.81357894,95.2610683,94.87421482,97.34787386
3,104.839385,108.2425101,106.9983557,107.9142744,109.4815825
4,115.2663847,120.4397006,120.8347802,122.2546349,122.8649034
5,128.9708793,130.7955751,133.4803833,131.8302406,136.5193733
6,142.3473089,146.5673443,147.5198086,143.1765326,148.0632069
7,153.9317566,152.9331533,153.7864783,153.6637274,162.9298801
8,162.4320287,164.3562286,166.7836948,167.7541696,179.8760915
9,168.3538596,171.143606,179.2537162,183.5707721,195.1951023
10,171.2320433,182.2565625,188.2911846,199.393673,202.7343582
11,187.3328619,196.6567313,204.1369879,209.0919448,213.561575
12,189.2504278,213.2055462,217.9461612,205.0999729,226.184649
13,196.7352574,219.7116278,231.8403814,217.9495567,241.4665582
14,205.0481394,219.7663467,226.0730155,211.6066298,255.1412544
15,209.8683949,226.6304052,238.869399,224.5436218,259.6022872
16,207.4782323,231.5704373,231.3710138,232.4976012,268.4054052
17,221.6553581,221.6602235,224.4755877,242.6639481,249.5663215
18,223.0060833,232.8640156,218.7725908,249.3746742,262.4829422
19,223.1940895,243.5483302,226.5339004,241.283241,255.4395445
20,237.4314299,243.8225132,237.2894291,252.8814083,268.9522146
21,247.425369,256.3302595,238.3489396,266.8943906,271.1431503
22,257.9732753,269.1594791,239.9350712,270.93468,272.4138182
23,265.5306892,256.2770043,249.3039291,278.4152214,280.5199211
24,277.4865664,240.6459158,233.1826148,282.3843568,290.1012472
25,254.4070919,235.6636315,243.7255957,287.7865064,260.1664448
26,267.6091137,224.0114008,233.317823,298.0139542,272.2130402
27,247.5861934,235.1068658,235.0841384,277.9350591,272.5503483
28,246.5003164,234.5086561,238.5726153,274.508619,276.4911804
29,259.2797507,247.1114205,240.8169117,253.6170599,259.526893
30,252.0254789,231.6853308,243.3618146,245.4858382,254.6111571
31,247.6670299,246.4825133,227.772291,242.9864033,262.2021781
32,244.704873,256.3167883,225.8323238,246.9806827,262.3533044
33,247.2710374,258.2653817,217.7402269,244.7972795,255.3414814
34,258.286084,266.0550505,233.4469007,243.2670558,242.2252101
35,269.4106698,258.6347985,236.049729,248.4513603,251.6975739
36,268.5586944,264.8380041,226.0458088,254.5050665,259.3973894
37,280.654401,247.1651739,242.0268056,240.7052842,256.7132549
38,257.2315083,258.1908962,226.860112,250.2273921,264.164278
39,267.1831132,246.0593289,218.4980229,237.0735962,266.1419436
40,260.2309046,233.206525,230.5617922,224.7050037,260.399325
